,Hero,Pick Rate,Win Rate,KDA
0,AnaSupport,8.23%,43.10%,1.82
1,MercySupport,6.65%,41.83%,0.47
2,ReinhardtTank,6.26%,45.34%,2.26
3,ZaryaTank,4.54%,45.00%,4.03
4,GenjiDamage,4.35%,38.30%,2.83
5,CassidyDamage,4.31%,37.17%,2.62
6,D.VaTank,4.06%,41.58%,4.9
7,MoiraSupport,3.93%,46.72%,3.86
8,RoadhogTank,3.87%,39.96%,3.48
9,LúcioSupport,3.84%,42.79%,2.38
10,ZenyattaSupport,3.68%,45.02%,2.63
11,HanzoDamage,3.64%,36.55%,2.81
12,WidowmakerDamage,3.54%,35.70%,2.49
13,Soldier: 76Damage,3.15%,37.72%,3.22
14,JunkratDamage,2.77%,36.60%,2.68
15,TracerDamage,2.62%,36.47%,2.78
16,WinstonTank,2.61%,43.98%,3.17
17,PharahDamage,2.34%,37.39%,3.03
18,ReaperDamage,2.05%,37.76%,3.11
19,OrisaTank,2.00%,44.24%,3.23
20,AsheDamage,1.71%,46.72%,3.14
21,DoomfistTank,1.69%,46.34%,2.13
22,Wrecking BallTank,1.58%,47.57%,3.07
23,BrigitteSupport,1.57%,51.73%,2.43
24,MeiDamage,1.51%,35.79%,2.99
25,BaptisteSupport,1.47%,44.43%,2.0
26,SombraDamage,1.45%,35.47%,3.12
27,SigmaTank,1.40%,48.14%,3.91
28,SymmetraDamage,1.30%,44.43%,3.29
29,TorbjörnDamage,1.19%,41.37%,4.18
30,BastionDamage,0.82%,32.48%,3.19
31,EchoDamage,0.48%,48.57%,3.31
32,KirikoSupport,0.01%,48.36%,5.54
33,Junker QueenTank,—,49.50%,5.19
34,SojournDamage,—,48.06%,3.62
35,RamattraTank,—,42.37%,3.34
